term_str,x,y,n,max_pos,logn
sees,2.8980465,30.564903,96.0,VBZ,4.564348191467836
seized,3.6073732,40.792194,183.0,VBD,5.209486152841421
seldom,21.467724,12.134567,133.0,RB,4.890349128221754
self,32.200443,-24.240473,136.0,NN,4.912654885736052
send,61.186882,0.7116653,536.0,VB,6.284134161070802
sense,18.395327,-23.356564,322.0,NN,5.7745515455444085
sent,8.419067,42.359116,834.0,VBD,6.726233402358747
servant,-6.7681127,-18.378178,192.0,NN,5.2574953720277815
servants,-9.198907,-28.28511,281.0,NNS,5.638354669333745
serve,55.233543,3.3805377,235.0,VB,5.459585514144159
service,5.4864798,-26.34279,179.0,NN,5.187385805840755
set,-3.3857608,50.145485,846.0,VBN,6.740519359606223
setting,-11.026586,40.392437,87.0,VBG,4.465908118654584
settled,12.557036,37.81713,130.0,VBN,4.867534450455582
seven,-36.431236,-47.98868,533.0,CD,6.278521424165844
shade,-44.498787,-3.814707,147.0,NN,4.990432586778736
shades,-50.16092,-1.7103915,86.0,NNS,4.454347296253507
shadow,-43.314823,7.9962654,473.0,NN,6.159095388491933
shadows,-47.364136,10.663036,240.0,NNS,5.480638923341991
shake,-33.480427,-4.565574,134.0,VB,4.897839799950911
shaking,-1.5257072,35.101116,151.0,VBG,5.017279836814924
shall,37.9837,45.128906,2188.0,MD,7.690743163541872
shame,25.01177,-27.02846,180.0,NN,5.19295685089021
shape,-18.191372,-11.020127,168.0,NN,5.123963979403259
share,13.980026,-36.79186,180.0,NN,5.19295685089021
sharp,-29.8508,2.881925,294.0,JJ,5.683579767338681
shed,-17.835537,10.407485,355.0,NN,5.872117789475416
sheep,-16.46592,-32.616447,172.0,NN,5.147494476813453
shelter,-4.539334,-4.6800904,92.0,NN,4.5217885770490405
shes,43.30586,26.394985,258.0,NN,5.552959584921617
shield,-32.297485,-12.35034,347.0,NN,5.849324779946859
shields,-40.63787,-5.915344,109.0,NNS,4.6913478822291435
shine,-24.471289,12.109353,70.0,VB,4.248495242049359
shining,-37.837955,-2.1908817,209.0,VBG,5.342334251964811
ship,-36.638775,25.485546,480.0,NN,6.173786103901937
ships,-11.170064,-34.411083,405.0,NNS,6.003887067106539
shone,-30.49723,22.947115,160.0,NN,5.075173815233827
shook,-14.834382,48.58562,370.0,VBD,5.91350300563827
shore,-39.479847,18.136023,363.0,NN,5.8944028342648505
shores,-40.412415,-11.461197,70.0,NNS,4.248495242049359
short,-20.059076,6.2598343,508.0,JJ,6.230481447578482
shot,-5.6104646,7.700335,125.0,NN,4.8283137373023015
shoulder,-34.70387,-20.81335,468.0,NN,6.148468295917647
shoulders,-33.31085,-21.063063,321.0,NN,5.771441123130016
shouted,9.452089,38.47756,328.0,VBD,5.793013608384144
showed,7.069595,35.690113,234.0,VBD,5.455321115357702
showing,-3.925211,-10.0765505,90.0,VBG,4.499809670330265
shut,-4.6245837,48.646122,308.0,VBD,5.730099782973574
sick,22.947552,9.839573,176.0,JJ,5.170483995038151
sides,-37.770855,-13.634231,135.0,NNS,4.90527477843843
sigh,-5.751967,-13.535344,78.0,NN,4.356708826689592
sighed,5.385162,18.617373,169.0,VBD,5.1298987149230735
sight,-17.483168,-4.9884915,510.0,NN,6.234410725718371
sign,22.128813,-17.435408,196.0,NN,5.278114659230517
silence,-42.259426,8.500265,438.0,NN,6.082218910376446
silent,-21.130146,28.988209,375.0,JJ,5.926926025970411
silly,47.927746,8.781668,74.0,JJ,4.30406509320417
silver,-58.314846,3.9455168,607.0,NN,6.408528791059498
sing,58.626827,-1.3262973,192.0,VBG,5.2574953720277815
singing,-34.850025,1.6512449,167.0,VBG,5.117993812416755
single,-15.125687,-15.8913145,220.0,JJ,5.393627546352362
sir,38.602024,23.356123,807.0,NN,6.693323668269949
sire,-3.5476055,-39.381992,167.0,NN,5.117993812416755
sister,17.32144,-32.279556,738.0,NN,6.6039438246004725
sisters,11.966166,-40.217747,257.0,NN,5.54907608489522
sit,67.230804,-5.9414973,412.0,VB,6.021023349349527
sitting,-26.46075,26.409624,325.0,VBG,5.783825182329737
skies,-50.387444,-2.4586756,171.0,NN,5.14166355650266
sky,-48.859154,8.028084,478.0,NN,6.169610732491456
slain,-43.67866,-9.768694,274.0,NN,5.6131281063880705
slaughter,-43.32937,-12.82751,78.0,NN,4.356708826689592
sleep,64.37249,-8.297609,701.0,VB,6.55250788703459
sleeping,5.091753,15.275982,138.0,VBG,4.927253685157205
slept,9.997911,45.625023,182.0,VBD,5.204006687076795
slight,-5.19603,-12.646246,84.0,JJ,4.430816798843313
slightly,5.190745,17.460503,129.0,NNP,4.859812404361672
slipped,-6.6840153,44.617615,154.0,VBD,5.0369526024136295
slow,-33.650356,1.2666718,251.0,JJ,5.5254529391317835
slowly,-14.457575,31.88416,354.0,RB,5.869296913133774
small,-59.989418,10.450824,914.0,JJ,6.81783057145415
smile,-7.959961,-14.1332655,537.0,NN,6.285998094508865
smiled,2.555764,51.36408,448.0,VBD,6.104793232414985
smiling,4.399514,19.608673,175.0,VBG,5.1647859739235145
smoke,-44.525078,1.358365,283.0,NN,5.645446897643238
smooth,-36.498707,0.45778206,130.0,JJ,4.867534450455582
snow,-46.202267,8.644173,700.0,NNP,6.551080335043404
society,15.830399,-25.920029,83.0,NN,4.418840607796598
soft,-60.032795,8.588165,498.0,JJ,6.210600077024653
softly,-12.980415,31.40409,237.0,RB,5.4680601411351315
solemn,-12.871421,-13.573005,122.0,NN,4.804021044733257
somewhat,1.658302,-5.417304,81.0,RB,4.394449154672439
son,23.607845,-36.20661,1412.0,NN,7.252762418053187
song,-4.72085,-14.999729,325.0,NN,5.783825182329737
sons,-6.8702188,-35.37646,537.0,NNS,6.285998094508865
soon,14.823532,16.845978,1172.0,RB,7.066466970136958
sooner,36.213314,-13.884929,235.0,NN,5.459585514144159
sorrow,3.4896371,-28.648018,107.0,NN,4.672828834461906
sorrows,8.76346,-39.335796,70.0,NNS,4.248495242049359
sorry,26.138502,14.249516,261.0,JJ,5.564520407322694
sort,20.450006,-14.764085,327.0,NN,5.7899601708972535
sought,8.531378,45.05089,132.0,VBD,4.882801922586371
soul,14.796333,-34.599014,311.0,NN,5.739792912179234
sound,-11.259408,-8.930702,791.0,NN,6.673297967767654
sounding,-38.498543,-5.194889,60.0,VBG,4.0943445622221
sounds,-4.744342,-1.4209954,157.0,NNS,5.056245805348308
south,-37.423946,18.842556,411.0,NN,6.018593214496234
space,-51.28685,-11.338895,143.0,NN,4.962844630259907
spare,54.446915,-0.2856913,183.0,VB,5.209486152841421
speak,57.63295,9.046934,769.0,VB,6.645090969505644
speaking,7.2541513,17.004171,201.0,VBG,5.303304908059076
spear,-31.87978,-11.203042,381.0,NN,5.942799375126701
spears,-38.133274,-12.682858,191.0,NNS,5.25227342804663
speech,-2.1952791,-12.378808,122.0,NN,4.804021044733257
speed,-13.883387,8.273602,110.0,NN,4.700480365792417
spent,13.984839,35.981655,137.0,VBD,4.919980925828125
spirit,14.77439,-27.140867,168.0,NN,5.123963979403259
spirits,-27.591845,-23.478674,131.0,NNS,4.875197323201151
spite,-11.875815,-20.88563,76.0,NN,4.330733340286331
spoke,3.6978,51.678364,729.0,VBD,6.591673732008658
spoken,20.086443,46.30399,173.0,VBN,5.153291594497779
spot,-15.731999,-0.06664553,128.0,NN,4.852030263919617
sprang,-8.022442,49.509068,125.0,VBD,4.8283137373023015
spread,-29.242292,9.300905,259.0,VBD,5.556828061699537
spring,-33.93286,-38.512413,169.0,NN,5.1298987149230735
stairs,-39.337322,16.102404,164.0,NN,5.099866427824199
stand,65.62214,-4.1556244,498.0,VB,6.210600077024653
standing,-26.10875,25.85457,352.0,VBG,5.863631175598097
stands,-19.063398,45.75574,152.0,VBZ,5.0238805208462765
star,-18.993948,-11.510906,91.0,NN,4.51085950651685
stars,-50.397392,5.295967,267.0,NNS,5.58724865840025
start,60.673237,-10.514389,170.0,NN,5.135798437050262
started,-6.0725746,50.22707,265.0,VBD,5.579729825986222
state,7.047109,-33.26464,225.0,NN,5.41610040220442
stay,67.54136,0.96639407,479.0,VB,6.171700597410915
stayed,9.331071,47.78454,149.0,VBD,5.003946305945459
steadily,-11.572155,27.12871,69.0,RB,4.23410650459726
steeds,-40.29057,-14.914326,154.0,NNS,5.0369526024136295
steel,-31.116152,-15.487361,543.0,NN,6.297109319933935
steep,-35.28988,5.9850106,101.0,JJ,4.61512051684126
step,-32.3992,17.878386,344.0,NN,5.840641657373398
stepped,-6.858352,49.868855,248.0,VBD,5.5134287461649825
steps,-39.38483,5.311953,403.0,NNS,5.998936561946683
stern,-27.308298,-3.814289,171.0,JJ,5.14166355650266
stick,-20.240953,15.082161,198.0,NN,5.288267030694535
stirred,2.5576515,39.19408,106.0,VBD,4.663439094112067
stone,-45.755558,13.238877,883.0,NN,6.78332520060396
stones,-48.15376,2.5650258,246.0,NNS,5.5053315359323625
stood,-9.192089,54.186977,1343.0,VBD,7.202661196523238
stop,53.128876,3.9915001,368.0,VB,5.908082938168931
stopped,0.2964235,45.14162,430.0,VBD,6.063785208687608
