term_str,x,y,n,max_pos,logn
road,58.67162,-2.135818,600.0,NN,6.396929655216146
roads,7.777963,-44.604916,53.0,NNS,3.970291913552122
roar,36.22632,-6.9869633,88.0,NN,4.477336814478207
roared,12.129364,55.21595,82.0,VBD,4.406719247264253
roaring,27.81213,15.315394,66.0,VBG,4.189654742026425
roast,20.216627,-27.141325,52.0,NN,3.9512437185814275
robb,-26.719204,-6.0229917,902.0,NNP,6.804614520062624
robe,34.470547,-24.065594,61.0,NN,4.110873864173311
robert,-26.386547,-6.4447174,655.0,NNP,6.484635235635252
robes,27.686447,-4.7771244,56.0,NN,4.02535169073515
rock,55.540318,-8.267444,475.0,NN,6.163314804034641
rocks,49.239517,3.7837226,167.0,NNS,5.117993812416755
rode,30.026798,56.34212,454.0,VBD,6.118097198041348
roll,32.523674,30.867887,93.0,NN,4.532599493153256
rolled,26.611834,47.43435,178.0,VBD,5.181783550292085
rolling,38.25271,15.39143,106.0,VBG,4.663439094112067
roof,47.1804,-10.295115,232.0,NN,5.44673737166631
room,55.900032,-20.971409,1276.0,NN,7.151485463904735
rooms,13.663102,-45.538918,91.0,NNS,4.51085950651685
root,40.3805,-12.874108,56.0,NN,4.02535169073515
roots,35.51442,-2.8328662,84.0,NNS,4.430816798843313
rope,36.20818,-13.3127985,103.0,NN,4.634728988229636
rose,27.991055,62.288258,821.0,VBD,6.710523109452428
roses,24.088976,0.6777918,61.0,NNS,4.110873864173311
rough,25.766539,5.3613305,160.0,JJ,5.075173815233827
round,52.97505,27.77259,1248.0,NN,7.129297548929373
roused,-0.81382585,58.253353,84.0,VBN,4.430816798843313
row,43.24488,-10.372494,94.0,NN,4.543294782270004
royal,-14.196803,-3.9423194,147.0,NN,4.990432586778736
rubbed,14.382687,50.15206,105.0,VBD,4.653960350157523
ruin,-7.9078045,-29.158514,116.0,NN,4.7535901911063645
ruins,44.67462,-13.067007,59.0,NNS,4.07753744390572
rule,-72.24383,1.8709282,149.0,VB,5.003946305945459
run,-74.448784,-4.629692,442.0,VB,6.091309882077698
running,35.65995,33.854168,342.0,VBG,5.834810737062605
runs,31.664276,31.771572,56.0,VBZ,4.02535169073515
rush,47.851616,-8.070564,134.0,NN,4.897839799950911
rushed,29.265388,50.722626,105.0,VBD,4.653960350157523
rushes,43.762722,-5.9370418,57.0,NNS,4.04305126783455
rushing,34.936707,28.201672,115.0,VBG,4.74493212836325
sable,22.360338,11.544468,65.0,JJ,4.174387269895637
sacred,-3.2585645,-10.803769,179.0,JJ,5.187385805840755
sacrifice,-11.614259,-40.844826,82.0,NN,4.406719247264253
sad,-11.213322,13.287731,300.0,JJ,5.703782474656201
saddle,51.82174,-23.720604,183.0,NN,5.209486152841421
sadly,-5.861193,28.724993,80.0,RB,4.382026634673881
safe,-20.528816,29.251646,444.0,JJ,6.095824562432225
safely,35.68516,36.61859,93.0,RB,4.532599493153256
safety,-27.66598,-43.26485,86.0,NN,4.454347296253507
said,-23.26572,69.976746,12056.0,VBD,9.397317740306331
sail,59.560337,0.89582527,194.0,NN,5.267858159063328
sailed,0.9571466,68.63619,70.0,VBD,4.248495242049359
sails,19.061754,-41.849842,88.0,NNS,4.477336814478207
sake,-33.89019,-42.713417,139.0,NN,4.9344739331306915
salt,32.84622,-0.41394922,143.0,NN,4.962844630259907
sand,43.15727,-4.6885476,89.0,NN,4.48863636973214
sang,7.5132465,57.06503,146.0,VBD,4.983606621708336
sank,30.324604,48.779507,91.0,VBD,4.51085950651685
sansa,-5.7509427,32.746006,1124.0,NNP,7.024649030453636
sat,8.294502,69.954155,1075.0,VBD,6.980075940561763
satin,25.052044,-1.0648801,106.0,NN,4.663439094112067
satisfaction,7.0069222,-20.26422,66.0,NN,4.189654742026425
satisfied,-14.160336,27.62968,69.0,VBN,4.23410650459726
savage,6.6785264,3.335165,119.0,NN,4.77912349311153
save,-66.82148,-0.55454,366.0,VB,5.902633333401366
saved,-10.746848,58.38684,126.0,VBD,4.836281906951478
saw,-5.9355454,49.991814,2146.0,VBD,7.671360923190644
say,-61.282326,12.164014,2380.0,VB,7.77485576666552
saying,-32.20386,31.065311,401.0,VBG,5.993961427306569
says,-22.523718,66.39576,422.0,VBZ,6.045005314036012
scabbard,32.098347,-34.06741,58.0,NN,4.060443010546419
scarce,-45.178104,15.692103,94.0,NN,4.543294782270004
scarcely,-44.48087,16.504974,295.0,RB,5.68697535633982
scared,-17.768871,19.860016,112.0,VBN,4.718498871295094
scattered,10.0052185,-42.744324,81.0,VBN,4.394449154672439
scene,3.0012293,-17.525192,151.0,NN,5.017279836814924
scent,13.961685,-14.447315,99.0,NN,4.59511985013459
school,59.925888,-14.750196,127.0,NN,4.844187086458591
scorn,-4.102255,-0.7335022,52.0,NN,3.9512437185814275
scream,-56.03042,-14.995394,121.0,NN,4.795790545596741
screamed,15.611725,61.460716,204.0,VBD,5.318119993844216
screaming,19.437227,38.35633,97.0,VBG,4.574710978503383
sea,56.810505,-0.17421167,734.0,NN,6.598509028614515
seal,30.85548,-32.264202,60.0,NN,4.0943445622221
search,-27.441607,-45.121418,95.0,NN,4.553876891600541
searching,8.426489,11.245042,84.0,VBG,4.430816798843313
seas,49.917366,1.4422078,82.0,NNS,4.406719247264253
seat,50.64727,-25.019814,422.0,NN,6.045005314036012
seated,19.688122,29.570911,214.0,VBN,5.365976015021851
seats,19.452288,-43.403778,64.0,NNS,4.1588830833596715
second,6.4850054,-9.91525,425.0,JJ,6.052089168924417
secret,-30.96618,-33.8137,269.0,JJ,5.594711379601839
secrets,-17.862324,-45.18435,79.0,NNS,4.3694478524670215
secure,-13.774867,-10.765998,67.0,NN,4.204692619390966
seed,-11.7313,-34.92858,76.0,NN,4.330733340286331
seeing,-31.84763,31.864016,218.0,VBG,5.384495062789089
seek,-68.33993,-5.0519376,190.0,VB,5.247024072160486
seen,-10.652439,66.52464,1174.0,VBN,7.068172000388042
sees,-11.615976,48.139698,96.0,VBZ,4.564348191467836
seize,-71.43975,-13.85793,57.0,VB,4.04305126783455
seized,16.879246,52.44266,183.0,VBD,5.209486152841421
seldom,-32.360588,19.141788,133.0,RB,4.890349128221754
self,-25.990877,-12.008205,136.0,NN,4.912654885736052
sell,-65.554665,1.7813069,74.0,VB,4.30406509320417
sellsword,-11.395381,-18.388502,82.0,NN,4.406719247264253
sellswords,3.5669637,-49.676117,84.0,NNS,4.430816798843313
send,-64.999115,-5.6506343,536.0,VB,6.284134161070802
sending,-1.1645008,46.545074,102.0,VBG,4.624972813284271
sends,-9.309164,47.566925,61.0,VBZ,4.110873864173311
sense,-31.636002,-27.485958,322.0,NN,5.7745515455444085
senses,-17.773306,-51.654755,60.0,NNS,4.0943445622221
sent,-4.8535295,58.989433,834.0,VBD,6.726233402358747
sentence,-13.722551,-28.088167,51.0,NN,3.9318256327243257
sept,51.880745,-18.684317,124.0,NN,4.820281565605037
septon,-10.670513,-23.221361,144.0,NNP,4.969813299576001
ser,-29.664963,5.3278112,3234.0,NNP,8.081475040137052
servant,-19.368017,-20.467876,192.0,NN,5.2574953720277815
