term_str,x,y,n,max_pos,logn
swords,-14.637712,41.749306,399.0,NNS,5.988961416889864
swore,14.251128,-48.14439,157.0,VBD,5.056245805348308
sworn,5.0245934,14.209816,172.0,VBN,5.147494476813453
swung,-18.070698,-43.83285,147.0,VBD,4.990432586778736
table,-37.373737,23.254309,775.0,NN,6.652863029353347
tail,-48.474297,9.453729,108.0,NN,4.68213122712422
taken,9.859366,-54.13986,756.0,VBN,6.628041376179533
takes,6.6242065,-39.212563,102.0,VBZ,4.624972813284271
taking,-6.2370596,-15.285115,379.0,VBG,5.937536205082426
tale,23.408487,13.457697,220.0,NN,5.393627546352362
tales,3.8020027,31.913002,129.0,NNS,4.859812404361672
talk,51.423035,1.2245448,560.0,VB,6.327936783729195
talking,11.994544,9.381375,249.0,VBG,5.517452896464707
tall,-40.67861,-8.187291,460.0,JJ,6.131226489483141
taller,44.26586,36.845425,95.0,NN,4.553876891600541
taste,44.22555,9.905055,254.0,NN,5.537334267018537
tasted,3.4159408,-35.742153,76.0,VBD,4.330733340286331
taught,17.294657,-50.113922,160.0,VBN,5.075173815233827
tears,-53.385418,7.0280147,440.0,NNS,6.0867747269123065
teeth,-57.66448,7.8700237,378.0,NN,5.934894195619588
tell,58.751644,-3.5500448,1987.0,VB,7.594381242551817
telling,22.3701,-22.970385,176.0,VBG,5.170483995038151
tent,-38.40607,21.009937,217.0,NN,5.37989735354046
tents,-17.106638,33.348186,83.0,NNS,4.418840607796598
terms,12.704156,35.351337,98.0,NNS,4.584967478670572
terrible,-18.87105,-0.45507956,227.0,JJ,5.424950017481403
thank,54.376045,-8.714507,251.0,NN,5.5254529391317835
thats,21.19165,-32.741474,708.0,NN,6.56244409369372
theon,15.092466,-18.883217,495.0,NNP,6.20455776256869
theres,37.626194,17.368326,578.0,NN,6.359573868672378
theyd,38.618793,-26.00197,214.0,NN,5.365976015021851
theyll,36.97418,-36.274952,135.0,NN,4.90527477843843
theyre,20.617085,-32.103874,234.0,NN,5.455321115357702
thing,22.409922,13.506922,889.0,NN,6.790097235513905
things,4.5516343,33.018787,818.0,NNS,6.706862336602747
think,47.48724,-8.446533,1944.0,VB,7.572502985020384
thinking,26.934296,-13.250616,302.0,VBG,5.71042701737487
thinks,16.195007,-42.75853,94.0,VBZ,4.543294782270004
thirty,-9.070356,53.150974,144.0,NN,4.969813299576001
thought,13.383457,-43.170807,2634.0,VBD,7.876258882303226
thousand,-8.012953,55.630596,461.0,CD,6.133398042996649
thousands,-5.906139,50.373386,99.0,NNS,4.59511985013459
threw,-15.741903,-47.465313,340.0,VBD,5.8289456176102075
