term_str,0,1,2,3,4,5,6,7,8,9
easy,-0.002883947076873395,0.007308049507461785,0.006636589190635503,-0.002790228309972929,-0.010034401370997445,-0.005328278525102806,-0.00036652628169049807,-0.014833513752305901,-0.02465832376881046,0.0024290849961981376
present,0.03832341903891681,-0.007629153639920616,-0.02027206725202141,0.030516186802872644,-0.04170377674220685,-0.016748082061515263,0.02173673953931197,-0.01096769924175825,-0.0007538977814010028,-0.0221198167696129
fool,-0.03740887530751136,0.023863859486644434,-0.03827441832737745,0.0017310272984550554,-0.01846242127130078,-0.009816059735625375,0.00254882280836686,0.016553710651427033,0.007636855571535796,-0.0032219019370187704
big,-0.046661049394690624,0.03562559328371756,0.04921783567925697,-0.009897571022174131,0.017348589980064888,0.009409652075921551,0.047200039169115166,-0.0010697235310671294,-0.0023275082427125504,0.027007369484504665
loved,-0.008453116544944989,-0.016436551174654368,-0.033531004581288236,0.00202869449377735,0.003690721662145069,-0.056288793171279466,0.0043679338489257475,-0.003357940630498879,0.020205584187382553,0.01025366354683821
darkness,-0.012605090804495869,-0.0022432256914710624,0.04460978915717417,0.017495216463019464,-0.023986257814441414,-0.010387371808023821,-0.029195037328350576,0.013916503255188062,-0.019180468474769383,0.01241556950725887
steps,-0.0255236239084074,0.018153469422967222,-0.006890916607948716,-0.015202927129554303,-0.023938007722818205,-0.01476211677408959,0.026442697816356796,0.012943938510070141,-0.010915053075451653,0.0062825604582339815
shut,0.021286913421881527,0.012281432200878947,0.011128432238096897,0.01008818400426545,-0.00783070281685505,-0.015779682088123304,0.01676894814701135,0.010912704831335954,-0.0005016775203113832,-0.009240636046910701
age,0.0009481792929712468,-0.023337311318325088,-0.03002220209953413,-0.005152267040859443,-0.0056465689579475176,-0.015259363166928205,0.008002786485029872,0.0018597690206860196,-0.012730133115847031,0.0051456502131270905
living,0.008522430010710059,-0.00955203481617788,0.006357669638492741,0.01864881761893533,-0.023833127020795902,-0.01418239169458757,0.003671038939770478,0.0024052915847501966,0.012736577869061072,0.012242604714611655
trying,-0.008252168470216995,0.01167745190219904,0.0048718562636767895,0.01959788869725576,0.015641325247917476,-0.00697514318964676,0.011210643350180363,-0.0036819226027717533,-0.004330664130230671,-0.005520155215566463
wild,0.007396059580666392,-0.0040794619985476295,0.017236131368891797,0.014703351311339707,-0.03623467415021306,-0.024011174294156667,0.019315710061842,0.0031817923453635044,0.008129130943717214,0.023692490443862665
hurt,-0.015618666095749181,0.0268771753694569,0.005797524132443154,-0.0063713967279416805,0.0005174477982725634,-0.012453108875038255,0.050683216966870046,0.016945260101147913,0.03074871773380977,-0.008535789217440519
castle,-0.10063086757732141,0.0641249621553758,-0.014051703033356606,-0.0315289259349231,-0.023161560697387007,0.0028490186592198263,0.07330138188928081,-0.047559304434884875,-0.0782797962616487,0.03893842818100053
touched,-0.004832465978327353,0.014206392070838066,0.004682638458588804,0.006174729276715925,-0.014469764336656261,-0.007923534370512672,-0.013228720165285333,0.0003489482058550153,0.02705467673502339,-0.011527360830782481
drink,-0.0005261494550375302,-0.006656630829071006,-0.004952004982199024,0.07387090244785639,-0.006748136400217266,0.06806753745608884,-0.0028267728489481947,0.021738436513124126,0.019085195627677964,-0.005085134579072448
evening,0.05633535793308669,0.010377628818291343,-0.0053329112649987635,0.034454831836502504,-0.025245615246036485,-0.07251165855627292,0.010942681868445936,-0.032938460121012425,0.013067495072436763,-0.030537249049978323
step,0.0027967177004456036,0.013650941513842302,0.009029299997716586,-0.01585494642055429,-0.016547991145761838,-0.029822986920610528,0.0011458418457712671,0.015907313164680165,0.028601675794001385,0.03480385079082126
forgotten,-0.004292313831410113,0.011773066018028295,-0.0029985676782624615,0.0081046307492541,0.010614911508983867,-0.03025561826329664,-0.012367246330556858,0.0035636636844344205,-0.013275676976190545,0.009266654731456415
power,0.003083057528774187,-0.05580754355527377,-0.018270298957782444,-0.007194034241903815,-0.04543162326939391,-0.0474344084920294,-0.02679567914939085,0.009539808724599919,-0.04401365218912201,0.008269673936331177
grown,-0.0055718992517881346,0.012023744796658893,-0.010348258254410143,0.00868280526659273,0.027614424121192506,-0.029203071198589083,0.009427857763458142,-0.00511716058174988,-0.009226886098202575,0.007709010000642053
quick,-0.00884385200437497,0.01621657104899655,0.018848668182023735,0.0034798360620733257,0.001582608482742533,0.00029961467547905585,0.013722933825261241,0.021956773400274035,0.00880034807462704,0.02232016442369964
golden,-0.03780095446969756,-0.031102770411960072,-0.02977284590981964,0.005509781951472524,-0.004866871388946524,-0.013074823750985216,-0.027618499598746862,0.024275648084778074,-0.0036294635369420788,-0.024167575714337194
chair,0.05510426310700109,0.0323984531208432,-0.0427922419409162,-0.03436187170121777,-0.041144898300544776,0.005410290838166744,0.007723071012189204,0.03249861431369591,-0.014885474201460459,-0.01695142196985369
follow,0.0034535630874946684,9.527771172736979e-05,0.0259236794808537,0.006686889962353114,-0.014729860985003923,-0.01876721631265062,-0.006870688787420503,0.001131290400582928,-0.01308240959897148,-0.0023965903394532403
reach,-0.009117200265084498,-0.0010718713283585058,0.01609692202703225,0.02283454447948557,-0.006907405482599013,0.0025373043031994996,0.01519435797816207,0.015415981865025729,0.0046686633780727,0.015801728334674116
daughter,-0.019343619067682914,-0.01498095871292698,-0.05831174510822739,0.0722661733458346,-0.003225163296919427,0.022876443511136907,0.02062445585422265,0.0019390840960744871,-0.008932552027994697,0.022173393935174805
entered,0.023257497397929917,0.010700080040668013,-0.018602937734913744,0.007705403190520249,-0.03770633419935164,-0.030282332842716364,0.016892355268951772,0.020532681498807822,0.0231837140940101,0.0072685060174175
thinking,0.010724966080864776,0.014083027674503201,0.007762302536749522,0.017889360680859286,0.01892411906390478,-0.006664795199110871,0.005012795039971155,-0.0071672348350018955,-0.019990976186791277,-0.003732895331782912
sharp,-0.013011297794728966,0.012482262460898834,0.009620358738530062,-0.0034508157283783996,0.001529549654268483,-0.004992332044325092,-0.0008511309292415052,0.014523088485119748,0.004122342062783591,-0.0004931427532815441
knees,-0.005651479385366003,-0.003997770601798537,0.003857436558224052,-0.00024793133546780486,0.012183033073661207,0.010257217301744566,0.0129264168887575,0.03607651775436572,-0.0011980501457459546,0.009619791417459323
queen,-0.09331771445068382,-0.0006493216680657273,-0.14884589417825983,-0.01046490091945887,0.02777710627036591,-0.027262495965037437,-0.10322399158975287,0.027012924356407963,0.05752709275307516,-0.0923304181592864
women,-0.017357019569617996,0.005928104528374617,-0.016744256667559777,0.029102637069885813,0.0006363894540229878,0.06670952541889766,-0.0016839098186764295,0.031641745777898446,0.062246928906269164,0.02453247259876302
alive,-0.006779999825287193,0.001865935458771247,0.0014140595309144817,0.02039517957161481,-0.012421739229640795,0.015157368448427157,0.011315816387960849,0.01352739835049681,0.002862643131724601,0.027538311444792365
born,-0.009550905863016226,-0.012965408260661717,-0.022943439211222653,0.00015359283891118298,-0.003404569300819563,0.0006633800524443374,-0.002071518468700061,-0.009145431567633679,0.009519816675447733,0.021255917460289486
feeling,0.024506584055088872,0.010130591985405179,0.006676883439000676,0.010879988014559434,-0.007379915864590796,-0.041123949719686984,-0.004695419368754351,-0.013392116511386205,0.002446115902997899,0.01689309967686262
wore,-0.023937161403348253,0.016453264432927613,-0.008071125212366262,-0.005331732975765531,-0.0032338606517176697,0.01059811943872456,-0.02308757119772207,0.009030733431504968,0.012296929442923401,-0.019437302018413948
boys,0.012402417852573124,0.03697932982520053,0.05949706049664578,-0.024959021899467856,0.21141211898039322,0.017668595752496054,-0.02311203234177535,0.08580717873930557,-0.08530499326811636,0.1084305484434396
pass,0.0033521367673640732,-0.004934542838958182,0.0346349595504108,0.017444605441581513,-0.025520360694355905,-0.03344142452038737,-0.01227153373922523,-0.0002932614148721659,-0.03822210862449325,0.017001345122733727
mans,-0.02387254950097372,0.008421398759656851,-0.0006003058212881836,0.005171935975941701,-0.0037359096960540294,0.03346703087180175,0.01675314369298683,-0.0008706977321099166,0.0020519749929951217,0.019309890325908092
liked,-0.010489088584105365,0.022392200149630583,-0.00039421907740018355,0.010552883342004883,0.006590239581522932,-0.034533352630642014,0.027173416312583777,-0.013629218168837555,0.017886480460531977,0.005460884200053139
angry,-0.00857684773549392,-0.001438910351705512,-0.012496678346121356,0.022568588706326637,-0.004763338700625553,0.00951721702968211,0.02560384336243017,0.006328166299425579,-0.002813567827347536,0.0035160090872890406
