book_id,chap_num,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,polarity,tfidf,label
1,1,0.329608938547486,0.2905027932960894,0.22905027932960895,0.3687150837988827,0.2849162011173184,0.3407821229050279,0.21787709497206703,0.33519553072625696,-0.16201117318435754,0.03318405728038084,"A Game of Thrones, by RR Martin–F"
1,2,0.1888111888111888,0.22377622377622378,0.25874125874125875,0.3356643356643357,0.18181818181818182,0.3146853146853147,0.13286713286713286,0.46853146853146854,-0.13286713286713286,0.0381346549040075,"A Game of Thrones, by RR Martin–F"
1,3,0.2558139534883721,0.29457364341085274,0.18604651162790697,0.23255813953488372,0.37209302325581395,0.17829457364341086,0.13178294573643412,0.49612403100775193,0.13953488372093023,0.037108300536087435,"A Game of Thrones, by RR Martin–F"
1,4,0.24479166666666666,0.19270833333333334,0.11458333333333333,0.22395833333333334,0.2916666666666667,0.17708333333333334,0.16666666666666666,0.5104166666666666,0.140625,0.03771426237626104,"A Game of Thrones, by RR Martin–F"
1,5,0.21777777777777776,0.21333333333333335,0.21777777777777776,0.22666666666666666,0.28,0.26222222222222225,0.1688888888888889,0.4444444444444444,-0.02666666666666667,0.02723121440091362,"A Game of Thrones, by RR Martin–F"
1,6,0.15730337078651685,0.20786516853932585,0.24157303370786518,0.16853932584269662,0.2696629213483146,0.29775280898876405,0.14606741573033707,0.42134831460674155,-0.02247191011235955,0.033551995656067764,"A Game of Thrones, by RR Martin–F"
1,7,0.18435754189944134,0.2346368715083799,0.2346368715083799,0.3407821229050279,0.2737430167597765,0.27932960893854747,0.16759776536312848,0.3854748603351955,-0.0782122905027933,0.02106764892850635,"A Game of Thrones, by RR Martin–F"
1,8,0.21818181818181817,0.2818181818181818,0.16363636363636364,0.24545454545454545,0.39090909090909093,0.3,0.2545454545454545,0.44545454545454544,0.10909090909090909,0.016011645951670303,"A Game of Thrones, by RR Martin–F"
1,9,0.2865853658536585,0.21951219512195122,0.21951219512195122,0.2804878048780488,0.27439024390243905,0.3231707317073171,0.21951219512195122,0.3902439024390244,-0.18902439024390244,0.023228109047831156,"A Game of Thrones, by RR Martin–F"
1,10,0.1258741258741259,0.2727272727272727,0.24475524475524477,0.21678321678321677,0.3146853146853147,0.3076923076923077,0.21678321678321677,0.43356643356643354,-0.06993006993006994,0.03888069312465441,"A Game of Thrones, by RR Martin–F"
1,11,0.11363636363636363,0.22727272727272727,0.125,0.3409090909090909,0.26136363636363635,0.3522727272727273,0.20454545454545456,0.3522727272727273,-0.25,0.0302810747746125,"A Game of Thrones, by RR Martin–F"
1,12,0.20765027322404372,0.22950819672131148,0.13114754098360656,0.26229508196721313,0.3333333333333333,0.22950819672131148,0.24043715846994534,0.4098360655737705,0.07650273224043716,0.019929786729471988,"A Game of Thrones, by RR Martin–F"
1,13,0.2885572139303483,0.19402985074626866,0.20398009950248755,0.32338308457711445,0.24378109452736318,0.2537313432835821,0.16417910447761194,0.4079601990049751,-0.08955223880597014,0.02683291367382281,"A Game of Thrones, by RR Martin–F"
1,14,0.20218579234972678,0.1912568306010929,0.22950819672131148,0.25136612021857924,0.1912568306010929,0.3114754098360656,0.12568306010928962,0.3770491803278688,-0.29508196721311475,0.038928503281329754,"A Game of Thrones, by RR Martin–F"
1,15,0.21666666666666667,0.17222222222222222,0.25555555555555554,0.4111111111111111,0.22777777777777777,0.4111111111111111,0.19444444444444445,0.3333333333333333,-0.3,0.020402894105793292,"A Game of Thrones, by RR Martin–F"
1,16,0.20300751879699247,0.23308270676691728,0.19924812030075187,0.30451127819548873,0.33458646616541354,0.2593984962406015,0.21052631578947367,0.40601503759398494,-0.06015037593984962,0.019266362053406864,"A Game of Thrones, by RR Martin–F"
1,17,0.265625,0.15625,0.234375,0.234375,0.2578125,0.2109375,0.15625,0.34375,-0.1484375,0.027077895493186337,"A Game of Thrones, by RR Martin–F"
1,18,0.23529411764705882,0.14705882352941177,0.058823529411764705,0.23529411764705882,0.17647058823529413,0.5588235294117647,0.058823529411764705,0.11764705882352941,-0.47058823529411764,0.08492255983498352,"A Game of Thrones, by RR Martin–F"
1,19,0.27419354838709675,0.25806451612903225,0.1774193548387097,0.3709677419354839,0.27419354838709675,0.3387096774193548,0.16129032258064516,0.3548387096774194,-0.12903225806451613,0.05217043760416783,"A Game of Thrones, by RR Martin–F"
1,20,0.18181818181818182,0.2777777777777778,0.18686868686868688,0.2676767676767677,0.32323232323232326,0.23737373737373738,0.1717171717171717,0.4696969696969697,-0.025252525252525252,0.031491475152994955,"A Game of Thrones, by RR Martin–F"
1,21,0.2161290322580645,0.18064516129032257,0.2967741935483871,0.29354838709677417,0.18064516129032257,0.3548387096774194,0.09032258064516129,0.3193548387096774,-0.3548387096774194,0.032724373317816954,"A Game of Thrones, by RR Martin–F"
1,22,0.17509727626459143,0.2178988326848249,0.23735408560311283,0.25680933852140075,0.19455252918287938,0.21011673151750973,0.10505836575875487,0.556420233463035,-0.08949416342412451,0.05113152085388677,"A Game of Thrones, by RR Martin–F"
1,23,0.1978021978021978,0.2271062271062271,0.2673992673992674,0.2783882783882784,0.23076923076923078,0.2857142857142857,0.15018315018315018,0.4139194139194139,-0.09523809523809523,0.04645136991561603,"A Game of Thrones, by RR Martin–F"
1,24,0.245,0.21,0.255,0.28,0.305,0.32,0.155,0.405,-0.13,0.02284805866970823,"A Game of Thrones, by RR Martin–F"
